lecture,slide_id,slide_json,has_text,models_count,concepts_total,concepts_not_in_text,triples_total,triples_with_image_modality,triple_entities_not_in_text,img_modality_rate,not_in_text_rate,image_heavy_score
Lecture 11,Slide26,Lecture 11\Slide26.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 11,Slide40,Lecture 11\Slide40.json,1,5,10,1,2,1,1,0.5,0.1667,0.4
Lecture 11,Slide44,Lecture 11\Slide44.json,1,5,10,1,2,1,1,0.5,0.1667,0.4
Lecture 12,Slide41,Lecture 12\Slide41.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 15,Slide10,Lecture 15\Slide10.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 17,Slide21,Lecture 17\Slide21.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 18,Slide22,Lecture 18\Slide22.json,1,5,10,1,2,1,1,0.5,0.1667,0.4
Lecture 18,Slide25,Lecture 18\Slide25.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 20,Slide14,Lecture 20\Slide14.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 20,Slide25,Lecture 20\Slide25.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 20,Slide30,Lecture 20\Slide30.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 20,Slide5,Lecture 20\Slide5.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 21,Slide21,Lecture 21\Slide21.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 22,Slide33,Lecture 22\Slide33.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 22,Slide34,Lecture 22\Slide34.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 22,Slide43,Lecture 22\Slide43.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 22,Slide5,Lecture 22\Slide5.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 23,Slide18,Lecture 23\Slide18.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 23,Slide26,Lecture 23\Slide26.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 23,Slide38,Lecture 23\Slide38.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 23,Slide45,Lecture 23\Slide45.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 23,Slide5,Lecture 23\Slide5.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 4,Slide36,Lecture 4\Slide36.json,1,5,10,0,2,1,2,0.5,0.1667,0.4
Lecture 4,Slide46,Lecture 4\Slide46.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 8,Slide23,Lecture 8\Slide23.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 12,Slide31,Lecture 12\Slide31.json,1,5,11,0,2,1,2,0.5,0.1538,0.3962
Lecture 17,Slide38,Lecture 17\Slide38.json,1,5,11,0,2,1,2,0.5,0.1538,0.3962
Lecture 19,Slide3,Lecture 19\Slide3.json,1,5,11,1,2,1,1,0.5,0.1538,0.3962
Lecture 22,Slide41,Lecture 22\Slide41.json,1,5,11,1,2,1,1,0.5,0.1538,0.3962
Lecture 16,Slide30,Lecture 16\Slide30.json,1,5,12,1,2,1,1,0.5,0.1429,0.3929
Lecture 17,Slide43,Lecture 17\Slide43.json,1,5,5,0,2,1,1,0.5,0.1429,0.3929
Lecture 21,Slide30,Lecture 21\Slide30.json,1,5,12,1,2,1,1,0.5,0.1429,0.3929
Lecture 21,Slide36,Lecture 21\Slide36.json,1,5,12,1,2,1,1,0.5,0.1429,0.3929
Lecture 6,Slide20,Lecture 6\Slide20.json,1,5,5,0,2,1,1,0.5,0.1429,0.3929
Lecture 14,Slide9,Lecture 14\Slide9.json,1,5,13,1,2,1,1,0.5,0.1333,0.39
Lecture 21,Slide27,Lecture 21\Slide27.json,1,5,13,1,2,1,1,0.5,0.1333,0.39
Lecture 11,Slide14,Lecture 11\Slide14.json,1,5,20,1,4,2,2,0.5,0.125,0.3875
Lecture 17,Slide32,Lecture 17\Slide32.json,1,5,4,1,4,2,0,0.5,0.125,0.3875
Lecture 18,Slide6,Lecture 18\Slide6.json,1,5,4,0,4,2,1,0.5,0.125,0.3875
Lecture 20,Slide29,Lecture 20\Slide29.json,1,5,4,0,4,2,1,0.5,0.125,0.3875
