lecture,slide_id,triples_total,ocr_evidenced_triples_total,ocr_evidenced_rate
Lecture 15,Slide6,3,0,0.000000
Lecture 15,Slide9,3,0,0.000000
Lecture 16,Slide18,3,0,0.000000
Lecture 16,Slide19,3,0,0.000000
Lecture 16,Slide20,3,0,0.000000
Lecture 16,Slide31,3,0,0.000000
Lecture 16,Slide36,3,0,0.000000
Lecture 16,Slide42,3,0,0.000000
Lecture 16,Slide43,3,0,0.000000
Lecture 16,Slide46,3,0,0.000000
Lecture 16,Slide47,3,0,0.000000
Lecture 16,Slide49,3,0,0.000000
Lecture 16,Slide6,3,0,0.000000
Lecture 16,Slide7,3,0,0.000000
Lecture 16,Slide8,3,0,0.000000
Lecture 17,Slide14,3,0,0.000000
Lecture 17,Slide26,3,0,0.000000
Lecture 17,Slide35,3,0,0.000000
Lecture 17,Slide41,3,0,0.000000
Lecture 17,Slide42,3,0,0.000000
Lecture 17,Slide5,3,0,0.000000
Lecture 17,Slide52,3,0,0.000000
Lecture 18,Slide17,3,0,0.000000
Lecture 18,Slide21,3,0,0.000000
Lecture 18,Slide29,3,0,0.000000
Lecture 18,Slide36,3,0,0.000000
Lecture 18,Slide38,3,0,0.000000
Lecture 18,Slide40,3,0,0.000000
Lecture 18,Slide41,3,0,0.000000
Lecture 18,Slide45,3,0,0.000000
Lecture 18,Slide48,3,0,0.000000
Lecture 18,Slide50,3,0,0.000000
Lecture 18,Slide54,3,0,0.000000
Lecture 19,Slide29,3,0,0.000000
Lecture 2,Slide10,3,0,0.000000
Lecture 2,Slide15,3,0,0.000000
Lecture 2,Slide18,3,0,0.000000
Lecture 2,Slide24,3,0,0.000000
Lecture 2,Slide4,3,0,0.000000
Lecture 2,Slide41,3,0,0.000000
Lecture 2,Slide42,3,0,0.000000
Lecture 2,Slide46,3,0,0.000000
Lecture 20,Slide10,3,0,0.000000
Lecture 20,Slide17,3,0,0.000000
Lecture 20,Slide20,3,0,0.000000
Lecture 20,Slide21,3,0,0.000000
Lecture 20,Slide23,3,0,0.000000
Lecture 20,Slide24,3,0,0.000000
Lecture 20,Slide28,3,0,0.000000
Lecture 20,Slide31,3,0,0.000000
Lecture 20,Slide40,3,0,0.000000
Lecture 20,Slide41,3,0,0.000000
Lecture 20,Slide43,3,0,0.000000
Lecture 20,Slide45,3,0,0.000000
Lecture 20,Slide46,3,0,0.000000
Lecture 20,Slide6,3,0,0.000000
Lecture 20,Slide7,3,0,0.000000
Lecture 21,Slide11,3,0,0.000000
Lecture 21,Slide17,3,0,0.000000
Lecture 21,Slide20,3,0,0.000000
Lecture 21,Slide23,3,0,0.000000
Lecture 21,Slide25,3,0,0.000000
Lecture 21,Slide29,3,0,0.000000
Lecture 21,Slide34,3,0,0.000000
Lecture 21,Slide37,3,0,0.000000
Lecture 21,Slide4,3,0,0.000000
Lecture 21,Slide40,3,0,0.000000
Lecture 21,Slide41,3,0,0.000000
Lecture 21,Slide6,3,0,0.000000
Lecture 21,Slide7,3,0,0.000000
Lecture 22,Slide17,3,0,0.000000
Lecture 22,Slide18,3,0,0.000000
Lecture 22,Slide21,3,0,0.000000
Lecture 22,Slide23,3,0,0.000000
Lecture 22,Slide27,3,0,0.000000
Lecture 22,Slide29,3,0,0.000000
Lecture 22,Slide32,3,0,0.000000
Lecture 22,Slide38,3,0,0.000000
Lecture 22,Slide6,3,0,0.000000
Lecture 23,Slide23,3,0,0.000000
Lecture 23,Slide35,3,0,0.000000
Lecture 23,Slide36,3,0,0.000000
Lecture 23,Slide37,3,0,0.000000
Lecture 23,Slide41,3,0,0.000000
Lecture 23,Slide50,3,0,0.000000
Lecture 23,Slide8,3,0,0.000000
Lecture 3,Slide27,3,0,0.000000
Lecture 3,Slide3,3,0,0.000000
Lecture 3,Slide6,3,0,0.000000
Lecture 4,Slide13,3,0,0.000000
Lecture 4,Slide14,3,0,0.000000
Lecture 4,Slide15,3,0,0.000000
Lecture 4,Slide16,3,0,0.000000
Lecture 4,Slide21,3,0,0.000000
Lecture 4,Slide28,3,0,0.000000
Lecture 4,Slide35,3,0,0.000000
Lecture 4,Slide41,3,0,0.000000
Lecture 4,Slide42,3,0,0.000000
Lecture 4,Slide43,3,0,0.000000
Lecture 4,Slide49,3,0,0.000000
Lecture 4,Slide6,3,0,0.000000
Lecture 4,Slide9,3,0,0.000000
Lecture 5,Slide26,3,0,0.000000
Lecture 6,Slide10,3,0,0.000000
Lecture 6,Slide13,3,0,0.000000
Lecture 6,Slide15,3,0,0.000000
Lecture 6,Slide18,3,0,0.000000
Lecture 6,Slide19,3,0,0.000000
Lecture 6,Slide25,3,0,0.000000
Lecture 6,Slide36,3,0,0.000000
Lecture 6,Slide37,3,0,0.000000
Lecture 6,Slide7,3,0,0.000000
Lecture 6,Slide8,3,0,0.000000
Lecture 7,Slide11,3,0,0.000000
Lecture 7,Slide14,3,0,0.000000
Lecture 7,Slide17,3,0,0.000000
Lecture 7,Slide33,3,0,0.000000
Lecture 7,Slide36,3,0,0.000000
Lecture 7,Slide43,3,0,0.000000
Lecture 7,Slide45,3,0,0.000000
Lecture 8,Slide12,3,0,0.000000
Lecture 8,Slide19,3,0,0.000000
Lecture 8,Slide27,3,0,0.000000
Lecture 8,Slide38,3,0,0.000000
Lecture 9,Slide13,3,0,0.000000
Lecture 9,Slide15,3,0,0.000000
Lecture 9,Slide16,3,0,0.000000
Lecture 9,Slide23,3,0,0.000000
Lecture 9,Slide26,3,0,0.000000
Lecture 9,Slide27,3,0,0.000000
Lecture 1,Slide13,2,0,0.000000
Lecture 1,Slide15,2,0,0.000000
Lecture 1,Slide16,2,0,0.000000
Lecture 1,Slide2,2,0,0.000000
Lecture 1,Slide23,2,0,0.000000
Lecture 1,Slide30,2,0,0.000000
Lecture 1,Slide31,2,0,0.000000
Lecture 1,Slide33,2,0,0.000000
Lecture 1,Slide37,2,0,0.000000
Lecture 1,Slide38,2,0,0.000000
Lecture 1,Slide4,2,0,0.000000
Lecture 1,Slide42,2,0,0.000000
Lecture 1,Slide43,2,0,0.000000
Lecture 1,Slide48,2,0,0.000000
Lecture 1,Slide50,2,0,0.000000
Lecture 1,Slide6,2,0,0.000000
Lecture 1,Slide7,2,0,0.000000
Lecture 10,Slide1,2,0,0.000000
Lecture 10,Slide11,2,0,0.000000
Lecture 10,Slide13,2,0,0.000000
Lecture 10,Slide14,2,0,0.000000
Lecture 10,Slide24,2,0,0.000000
Lecture 10,Slide3,2,0,0.000000
Lecture 10,Slide37,2,0,0.000000
Lecture 10,Slide38,2,0,0.000000
Lecture 10,Slide42,2,0,0.000000
Lecture 10,Slide49,2,0,0.000000
Lecture 10,Slide6,2,0,0.000000
Lecture 11,Slide15,2,0,0.000000
Lecture 11,Slide17,2,0,0.000000
Lecture 11,Slide19,2,0,0.000000
Lecture 11,Slide26,2,0,0.000000
Lecture 11,Slide30,2,0,0.000000
Lecture 11,Slide39,2,0,0.000000
Lecture 11,Slide40,2,0,0.000000
Lecture 11,Slide42,2,0,0.000000
Lecture 11,Slide44,2,0,0.000000
Lecture 11,Slide45,2,0,0.000000
Lecture 11,Slide46,2,0,0.000000
Lecture 11,Slide51,2,0,0.000000
Lecture 11,Slide52,2,0,0.000000
Lecture 11,Slide55,2,0,0.000000
Lecture 11,Slide56,2,0,0.000000
Lecture 11,Slide57,2,0,0.000000
Lecture 11,Slide59,2,0,0.000000
Lecture 11,Slide6,2,0,0.000000
Lecture 12,Slide16,2,0,0.000000
Lecture 12,Slide19,2,0,0.000000
Lecture 12,Slide23,2,0,0.000000
Lecture 12,Slide24,2,0,0.000000
Lecture 12,Slide30,2,0,0.000000
Lecture 12,Slide31,2,0,0.000000
Lecture 12,Slide38,2,0,0.000000
Lecture 12,Slide4,2,0,0.000000
Lecture 12,Slide41,2,0,0.000000
Lecture 12,Slide42,2,0,0.000000
Lecture 12,Slide45,2,0,0.000000
Lecture 12,Slide46,2,0,0.000000
Lecture 12,Slide48,2,0,0.000000
Lecture 13,Slide12,2,0,0.000000
Lecture 13,Slide18,2,0,0.000000
Lecture 13,Slide35,2,0,0.000000
Lecture 13,Slide37,2,0,0.000000
Lecture 13,Slide42,2,0,0.000000
Lecture 13,Slide49,2,0,0.000000
Lecture 13,Slide6,2,0,0.000000
Lecture 14,Slide17,2,0,0.000000
Lecture 14,Slide18,2,0,0.000000
Lecture 14,Slide2,2,0,0.000000
Lecture 14,Slide22,2,0,0.000000
Lecture 14,Slide26,2,0,0.000000
Lecture 14,Slide27,2,0,0.000000
Lecture 14,Slide32,2,0,0.000000
Lecture 14,Slide33,2,0,0.000000
Lecture 14,Slide40,2,0,0.000000
Lecture 14,Slide42,2,0,0.000000
Lecture 14,Slide43,2,0,0.000000
Lecture 14,Slide5,2,0,0.000000
Lecture 14,Slide52,2,0,0.000000
Lecture 14,Slide59,2,0,0.000000
Lecture 14,Slide9,2,0,0.000000
Lecture 15,Slide1,2,0,0.000000
Lecture 15,Slide11,2,0,0.000000
Lecture 15,Slide12,2,0,0.000000
Lecture 15,Slide14,2,0,0.000000
Lecture 15,Slide16,2,0,0.000000
Lecture 15,Slide17,2,0,0.000000
Lecture 15,Slide18,2,0,0.000000
Lecture 15,Slide22,2,0,0.000000
Lecture 15,Slide29,2,0,0.000000
Lecture 15,Slide30,2,0,0.000000
Lecture 15,Slide5,2,0,0.000000
Lecture 15,Slide7,2,0,0.000000
Lecture 16,Slide12,2,0,0.000000
Lecture 16,Slide13,2,0,0.000000
Lecture 16,Slide16,2,0,0.000000
Lecture 16,Slide17,2,0,0.000000
Lecture 16,Slide21,2,0,0.000000
Lecture 16,Slide24,2,0,0.000000
Lecture 16,Slide26,2,0,0.000000
Lecture 16,Slide30,2,0,0.000000
Lecture 16,Slide34,2,0,0.000000
Lecture 16,Slide35,2,0,0.000000
Lecture 16,Slide4,2,0,0.000000
Lecture 16,Slide45,2,0,0.000000
Lecture 16,Slide54,2,0,0.000000
Lecture 17,Slide17,2,0,0.000000
Lecture 17,Slide20,2,0,0.000000
Lecture 17,Slide21,2,0,0.000000
Lecture 17,Slide22,2,0,0.000000
Lecture 17,Slide24,2,0,0.000000
Lecture 17,Slide25,2,0,0.000000
Lecture 17,Slide3,2,0,0.000000
Lecture 17,Slide33,2,0,0.000000
Lecture 17,Slide36,2,0,0.000000
Lecture 17,Slide38,2,0,0.000000
Lecture 17,Slide43,2,0,0.000000
Lecture 17,Slide46,2,0,0.000000
Lecture 17,Slide47,2,0,0.000000
Lecture 17,Slide53,2,0,0.000000
Lecture 17,Slide54,2,0,0.000000
Lecture 18,Slide10,2,0,0.000000
Lecture 18,Slide11,2,0,0.000000
Lecture 18,Slide15,2,0,0.000000
Lecture 18,Slide18,2,0,0.000000
Lecture 18,Slide22,2,0,0.000000
Lecture 18,Slide27,2,0,0.000000
Lecture 18,Slide28,2,0,0.000000
Lecture 18,Slide31,2,0,0.000000
Lecture 18,Slide33,2,0,0.000000
Lecture 18,Slide49,2,0,0.000000
Lecture 18,Slide53,2,0,0.000000
Lecture 18,Slide55,2,0,0.000000
Lecture 18,Slide7,2,0,0.000000
Lecture 18,Slide8,2,0,0.000000
Lecture 19,Slide11,2,0,0.000000
Lecture 19,Slide12,2,0,0.000000
Lecture 19,Slide13,2,0,0.000000
Lecture 19,Slide19,2,0,0.000000
Lecture 19,Slide20,2,0,0.000000
Lecture 19,Slide22,2,0,0.000000
Lecture 19,Slide23,2,0,0.000000
Lecture 19,Slide26,2,0,0.000000
Lecture 19,Slide3,2,0,0.000000
Lecture 19,Slide30,2,0,0.000000
Lecture 19,Slide37,2,0,0.000000
Lecture 19,Slide42,2,0,0.000000
Lecture 19,Slide45,2,0,0.000000
Lecture 19,Slide48,2,0,0.000000
Lecture 19,Slide50,2,0,0.000000
Lecture 19,Slide52,2,0,0.000000
Lecture 19,Slide6,2,0,0.000000
Lecture 2,Slide19,2,0,0.000000
Lecture 2,Slide27,2,0,0.000000
Lecture 2,Slide3,2,0,0.000000
Lecture 2,Slide31,2,0,0.000000
Lecture 2,Slide34,2,0,0.000000
Lecture 2,Slide35,2,0,0.000000
Lecture 2,Slide39,2,0,0.000000
Lecture 2,Slide40,2,0,0.000000
Lecture 2,Slide43,2,0,0.000000
Lecture 2,Slide45,2,0,0.000000
Lecture 2,Slide6,2,0,0.000000
Lecture 2,Slide7,2,0,0.000000
Lecture 20,Slide14,2,0,0.000000
Lecture 20,Slide16,2,0,0.000000
Lecture 20,Slide18,2,0,0.000000
Lecture 20,Slide19,2,0,0.000000
Lecture 20,Slide22,2,0,0.000000
Lecture 20,Slide25,2,0,0.000000
Lecture 20,Slide30,2,0,0.000000
Lecture 20,Slide35,2,0,0.000000
Lecture 20,Slide36,2,0,0.000000
Lecture 20,Slide38,2,0,0.000000
Lecture 20,Slide39,2,0,0.000000
Lecture 20,Slide42,2,0,0.000000
Lecture 20,Slide5,2,0,0.000000
Lecture 20,Slide53,2,0,0.000000
Lecture 20,Slide54,2,0,0.000000
Lecture 20,Slide55,2,0,0.000000
Lecture 21,Slide1,2,0,0.000000
Lecture 21,Slide12,2,0,0.000000
Lecture 21,Slide19,2,0,0.000000
Lecture 21,Slide21,2,0,0.000000
Lecture 21,Slide22,2,0,0.000000
Lecture 21,Slide27,2,0,0.000000
Lecture 21,Slide28,2,0,0.000000
Lecture 21,Slide30,2,0,0.000000
Lecture 21,Slide31,2,0,0.000000
Lecture 21,Slide33,2,0,0.000000
Lecture 21,Slide36,2,0,0.000000
Lecture 21,Slide42,2,0,0.000000
Lecture 21,Slide9,2,0,0.000000
Lecture 22,Slide11,2,0,0.000000
Lecture 22,Slide13,2,0,0.000000
Lecture 22,Slide14,2,0,0.000000
Lecture 22,Slide15,2,0,0.000000
Lecture 22,Slide20,2,0,0.000000
Lecture 22,Slide25,2,0,0.000000
Lecture 22,Slide33,2,0,0.000000
Lecture 22,Slide34,2,0,0.000000
Lecture 22,Slide36,2,0,0.000000
Lecture 22,Slide37,2,0,0.000000
Lecture 22,Slide43,2,0,0.000000
Lecture 22,Slide5,2,0,0.000000
Lecture 23,Slide14,2,0,0.000000
Lecture 23,Slide16,2,0,0.000000
Lecture 23,Slide17,2,0,0.000000
Lecture 23,Slide18,2,0,0.000000
Lecture 23,Slide19,2,0,0.000000
Lecture 23,Slide26,2,0,0.000000
Lecture 23,Slide30,2,0,0.000000
Lecture 23,Slide32,2,0,0.000000
Lecture 23,Slide34,2,0,0.000000
Lecture 23,Slide38,2,0,0.000000
Lecture 23,Slide39,2,0,0.000000
Lecture 23,Slide44,2,0,0.000000
Lecture 23,Slide45,2,0,0.000000
